Time | Topic | Speaker/ Moderator | Panelists
16.05-16:45 (10+20+10) | Robotic-Assisted Surgery in Pediatrics: Changes in outcomes. | Dr Debashih Mitra | Dr V Sripathi
16.05-16:45 (10+20+10) | Case Vignettes in Robotic-Assisted Pediatric Surgery   | Dr. Sujit Chowdhury | Dr V Sripathi
16.05-16:45 (10+20+10) | Bloodless Pediatric Surgery:                                       -Stapler Circumcision                                      -Laser Proctology | Dr Debashih Mitra | Dr V Sripathi
16:45-18.00 | SUBSPECIALITY SYMPOSIUM 6: Respiratory | SUBSPECIALITY SYMPOSIUM 6: Respiratory | SUBSPECIALITY SYMPOSIUM 6: Respiratory
16:45-17:10 (20+5) | LECTURE 1: Updates in Mucociliary disorders | Dr S K Kabra | 
17.10-17.35 | LECTURE 2:  Updates in Pediatric Asthma therapy | Dr Kenan Haver (Virtual) | 
17.35-18.20 | Chai-pe Charcha: Respiratory Snippets from experts | Moderator: Dr Pallab Chatterjee | Dr S K Kabra Dr Sudip Sengupta Dr Subhasis Roy
18:30 onwards | MUSIC, COCKTAILS & DINNER | MUSIC, COCKTAILS & DINNER | MUSIC, COCKTAILS & DINNER
Time | Topic | Speaker/ Moderator | Panelists/ Chairperson
08:00-8.30 | WELCOME & REGISTRATION | WELCOME & REGISTRATION | WELCOME & REGISTRATION
08.30-09.45 | SUBSPECIALITY SYMPOSIUM 7: NEUROLOGY | SUBSPECIALITY SYMPOSIUM 7: NEUROLOGY | SUBSPECIALITY SYMPOSIUM 7: NEUROLOGY
08:30-09.00 (25+5) | LECTURE: AIDP Spectrum Disorders | Dr Shekhar G Patil | 
09.00-09.45 | PANEL DISCUSSION:  Case Vignettes in Pediatric Epilepsy | Dr Arijit Chattopadhyay | Dr Shekhar G Patil Dr Sushil Kumar Dr Prakritish Bora Dr Jasodhara Chaudhuri
09.45-11.00 | SUBSPECIALITY SYMPOSIUM 8: NEONATOLOGY/CARDIOLOGY | SUBSPECIALITY SYMPOSIUM 8: NEONATOLOGY/CARDIOLOGY | SUBSPECIALITY SYMPOSIUM 8: NEONATOLOGY/CARDIOLOGY
09:45-10.15 (25+5) | LECTURE: Common neonatal lung disorders and what to expect beyond the neonatal period | Dr Philip Levy | 
10:15-11.00 | PANEL DISCUSSION: Recognition of neonatal cardiovascular compromise- a case-based discussion | Dr Amrita Roy | Dr Philip Levy Dr Meena Thiagarajan Dr Muthukumaran C S Dr Debadatta Mukhopadhyay
11.00-11.15 | TEA/ COFFEE | TEA/ COFFEE | TEA/ COFFEE
11:15-12.45 | SUBSPECIALITY SYMPOSIUM 9:  INFECTIOUS DISEASE & VACCINOLOGY | SUBSPECIALITY SYMPOSIUM 9:  INFECTIOUS DISEASE & VACCINOLOGY | SUBSPECIALITY SYMPOSIUM 9:  INFECTIOUS DISEASE & VACCINOLOGY
11.15-11.40  (20+5) | LECTURE: Update on Dengue Management & Prevention | Dr Vijay Yewale | 
11.40-12.05  (20+5) | LECTURE : TBA | Dr Remesh Kumar R. | 
12:05-12.45 | PANEL DISCUSSION: A day in AMS ward round in a children’s hospital | Dr Vijay Yewale | Dr Vidya Krishna Dr Subhasish Bhattacharyya Dr Kaustabh Chaudhuri Dr Chandreyee Bhattacharya
